idx,date,signal,entry,exit,return,equity,confidence,shap
80,2020-04-30,-1,9859.900390625,9293.5,0.056444839013135,1.1683929359458056,0.43554667,"[ 0.00458899 -0.02634072  0.04016236  0.0156848   0.00670182  0.01627157
 -0.05574545  0.01759931  0.00325162  0.12262415 -0.09845428]"
81,2020-05-04,-1,9293.5,9205.599609375,0.0084582655216011,1.1782755136315983,0.5772323,"[ 0.00372923 -0.01214336  0.02486065 -0.0002679  -0.04118484  0.0810905
 -0.04722985  0.0039415   0.0395815   0.11682143  0.01883093]"
82,2020-05-05,-1,9205.599609375,9270.900390625,-0.0080935934671216,1.1687390306320005,0.44603,"[ 0.00485619 -0.01077909  0.02844971 -0.00110943 -0.00846641 -0.07009306
 -0.04925314  0.0325442   0.06107101  0.10114101 -0.0315335 ]"
83,2020-05-06,-1,9270.900390625,9199.0498046875,0.0067501195040513,1.1766281587578156,0.6271789,"[ 0.01419525 -0.00511363  0.04224821  0.00041778 -0.00758234 -0.03628677
 -0.0505201   0.03864308  0.06487383  0.1173602   0.0597409 ]"
84,2020-05-07,1,9199.0498046875,9251.5,0.0047016970693835,1.1821603079236014,0.63409865,"[ 0.06866702  0.05283609  0.0374328   0.03707893  0.0357112   0.05743351
  0.06911144  0.01693411 -0.07556036  0.09365019 -0.06138501]"
85,2020-05-08,1,9251.5,9239.2001953125,-0.0023294930214019,1.179406473736115,0.52473706,"[ 0.0642289   0.04062077  0.02490718  0.0267017   0.05489376 -0.08470376
  0.05086916  0.01741612 -0.00445366  0.01055728  0.02151089]"
86,2020-05-11,1,9239.2001953125,9196.5498046875,-0.0056162427183511,1.1727826407160182,0.6717022,"[ 0.07217492  0.04487427  0.02311245  0.03607482  0.03750032 -0.04817124
  0.05743631  0.01296276  0.0699016  -0.02599932  0.08964659]"
87,2020-05-12,1,9196.5498046875,9383.5498046875,0.0193337125303976,1.1954568831522625,0.78080046,"[ 0.05767626  0.02930018  0.02708572  0.03649478  0.08318917  0.0484613
  0.04410108 -0.01498362  0.07705833 -0.01144931  0.10167787]"
88,2020-05-13,1,9383.5498046875,9142.75,-0.0266619093732746,1.1635837200739991,0.6191258,"[ 0.04842705  0.02629211  0.03295993  0.00606217  0.08003753  0.01185159
  0.03403978 -0.01452297  0.07356142 -0.04111528  0.05934374]"
89,2020-05-14,1,9142.75,9136.849609375,-0.0016453627874545,1.1616692027209017,0.5921093,"[ 0.0621343   0.05654317  0.02059151  0.02946797  0.09518634 -0.13681337
  0.07330839 -0.00155515  0.04946693 -0.01325955  0.05485006]"
90,2020-05-15,1,9136.849609375,8823.25,-0.0353225097032599,1.1206361310358142,0.8483911,"[ 0.07747008  0.04012279  0.03531535  0.02847925  0.01603328 -0.01392838
  0.06078498  0.02449302  0.04510578  0.10913006  0.12319618]"
91,2020-05-18,1,8823.25,8879.099609375,0.0053298228402232,1.1266089230825882,0.6238182,"[ 0.08689895  0.0645197   0.01364616  0.03389912  0.09112473 -0.11138806
  0.06387476  0.01070047  0.06351931 -0.01934239  0.02417676]"
92,2020-05-19,1,8879.099609375,9066.5498046875,0.0201113968261579,1.1492666022025926,0.643997,"[ 0.08457659  0.03524998  0.03041697  0.02597527  0.0830982  -0.04298772
  0.05846975  0.02065814  0.04216604 -0.00243199  0.00661706]"
93,2020-05-20,1,9066.5498046875,9106.25,0.0033787544510012,1.1531496918501718,0.501131,"[ 0.07385429  0.03624049  0.02062738  0.01844781  0.06927524 -0.09064616
  0.06039163  0.0113846   0.03635907 -0.01713377 -0.01985831]"
94,2020-05-21,1,9106.25,9039.25,-0.0083575840768702,1.143512146347317,0.6562377,"[ 0.06863429  0.01746798  0.01509159  0.02773017  0.09078359 -0.0612632
  0.06501359 -0.0152484   0.04281139 -0.02896871  0.1319967 ]"
95,2020-05-22,1,9039.25,9029.0498046875,-0.0021284338094974,1.1410782564334605,0.8152511,"[ 0.08532582  0.04074195  0.01180512  0.02783253  0.05435023  0.0693428
  0.06109535 -0.02460766  0.094997   -0.01652922  0.10870848]"
96,2020-05-26,-1,9029.0498046875,9314.9501953125,-0.0326645047717615,1.103805500281236,0.56810135,"[-0.04898353 -0.02663944  0.01451702 -0.01257187 -0.02871672  0.18762139
 -0.06583409  0.02190334  0.0460752  -0.01451254  0.10604008]"
97,2020-05-27,1,9314.9501953125,9490.099609375,0.0178030435364688,1.123456597658537,0.36927348,"[ 0.04127897  0.01741799  0.02593462  0.02000648  0.04686856  0.00436231
  0.01240319 -0.01815042  0.0421599   0.02076621 -0.14596305]"
101,2020-06-02,-1,9979.099609375,10061.5498046875,-0.0092622880359908,1.1130508190550892,0.622357,"[-0.00181392 -0.01560583  0.03843438  0.01550847 -0.01811615 -0.04350628
 -0.05899803  0.01861524  0.00549862  0.17194339  0.12119462]"
102,2020-06-03,-1,10061.5498046875,10029.099609375,0.0022251686810099,1.115527544878023,0.56705254,"[ 0.00657759 -0.0052672   0.05567621  0.02895518 -0.00752715 -0.0666738
 -0.04575372  0.01617455 -0.04242305  0.13856618  0.09954524]"
103,2020-06-04,-1,10029.099609375,10142.150390625,-0.0122722762414606,1.1018374826923216,0.36683348,"[-0.01168175 -0.01992443  0.02954649  0.002944   -0.0234046   0.00040291
 -0.04774236  0.02048938  0.00142234  0.10914205 -0.08356305]"
104,2020-06-05,-1,10142.150390625,10167.4501953125,-0.0034945207587225,1.0979870887363146,0.48450786,"[ 0.00404843 -0.02233721  0.04590831  0.0197025   0.00607842  0.06176146
 -0.05669014  0.02060484 -0.01145754  0.12340018 -0.09571388]"
105,2020-06-08,-1,10167.4501953125,10046.650390625,0.0108810323499978,1.1099343217687343,0.40173802,"[-0.00705397 -0.02037202  0.03032483  0.01272186 -0.01198599  0.08700782
 -0.0359065   0.00175016 -0.01561119  0.11142909 -0.13976857]"
106,2020-06-09,-1,10046.650390625,10116.150390625,-0.0079177285262015,1.101146163127056,0.5117878,"[-0.00809771 -0.00745443  0.02511639  0.00500307 -0.02773204 -0.01883093
 -0.05947234  0.01245949  0.04332267  0.11193802  0.04633308]"
107,2020-06-10,1,10116.150390625,9902.0,-0.022169158460066,1.0767346793489987,0.38929808,"[ 0.05134919  0.02273765  0.01895103  0.00842632  0.06023071 -0.01408378
  0.04778198 -0.03708208 -0.11150942 -0.01623958  0.05654735]"
108,2020-06-11,-1,9902.0,9972.900390625,-0.0081602091117955,1.0679482992075886,0.774499,"[ 0.00377085  0.00251055  0.04673375  0.01424439 -0.03506076  0.02712406
 -0.04134111  0.01839488  0.05123608  0.11236823  0.18531557]"
109,2020-06-12,-1,9972.900390625,9813.7001953125,0.0149632793948444,1.0839283079878808,0.59788674,"[ 0.00051118 -0.02084973  0.03178515  0.0020653   0.00543882 -0.0317161
 -0.06582283  0.01543559  0.06719915  0.1083228   0.09631492]"
110,2020-06-15,-1,9813.7001953125,9914.0,-0.011220386061458,1.0717662139093138,0.46124747,"[-0.01144726 -0.00516927  0.02476098 -0.00827266 -0.03209488 -0.16833981
 -0.05700671  0.03012545  0.08147982  0.11218164  0.10582768]"
111,2020-06-16,-1,9914.0,9881.150390625,0.0023134566648174,1.0742456986000086,0.59949213,"[-0.00683338 -0.0130999   0.03818392 -0.00252968 -0.01651669 -0.04350307
 -0.06436543  0.02649891  0.03876488  0.11680276  0.13688731]"
112,2020-06-17,-1,9881.150390625,10091.650390625,-0.0223031875518985,1.0502865953073124,0.5264823,"[-0.03073756 -0.01812821  0.02151336 -0.02850354 -0.03199143 -0.02002726
 -0.08051228  0.04473599  0.07769557  0.10118657  0.10204857]"
113,2020-06-18,1,10091.650390625,10244.400390625,0.0141362754442923,1.0651337359140247,0.41131854,"[ 0.03637338  0.03269216  0.03086289  0.02460792  0.03190969  0.01951099
  0.03760143 -0.02768431 -0.03288564 -0.00755753 -0.03630116]"
114,2020-06-19,1,10244.400390625,10311.2001953125,0.0055206163504338,1.0710139306319102,0.3712596,"[ 0.02491856  0.03668913  0.03530708  0.03172532  0.01034299  0.06734998
  0.02003899 -0.03562173 -0.05696282 -0.0205326  -0.04418402]"
115,2020-06-22,-1,10311.2001953125,10471.0,-0.0164976919912917,1.0533446726859623,0.45826787,"[ 0.01436775 -0.00997838  0.020096    0.01725372 -0.02358211 -0.01045845
 -0.05123043  0.021868    0.0088592   0.11560779 -0.03373773]"
116,2020-06-23,1,10471.0,10305.2998046875,-0.0168246772335498,1.0356224885523415,0.43951717,"[ 0.02261757  0.03897033  0.04483644  0.02185313 -0.00117079  0.04011028
  0.01761009 -0.0490799   0.00842108  0.01467289 -0.02151266]"
117,2020-06-24,1,10305.2998046875,10288.900390625,-0.0025913572989929,1.0329388206576304,0.59517443,"[ 0.04830297  0.04262325  0.04476435  0.02890097  0.03325612  0.00790912
  0.03008895 -0.000505   -0.00186458  0.04847531  0.01103424]"
118,2020-06-25,-1,10288.900390625,10383.0,-0.0101457401473865,1.02245889179509,0.42778605,"[-0.03060903 -0.01282768  0.03369577 -0.01153032 -0.05876114  0.10353875
 -0.06980408 -0.00720124  0.05288834 -0.04295446  0.08214864]"
120,2020-06-29,1,10312.400390625,10302.099609375,-0.0019988732845714,1.0204151260317085,0.654432,"[ 0.06150482  0.03178478  0.03112984  0.01267406  0.03823022  0.08876954
  0.05908038 -0.0034811  -0.06370634 -0.00730663  0.10356372]"
121,2020-06-30,1,10302.099609375,10430.0498046875,0.0114198173347173,1.032068080376573,0.51445574,"[ 0.0629231   0.03167614  0.02020735  0.02137709  0.00337861 -0.08433425
  0.07368704  0.02869404 -0.04298375  0.02615324  0.07148843]"
122,2020-07-01,1,10430.0498046875,10551.7001953125,0.0106634525148985,1.043073489343811,0.45671248,"[ 0.03809933  0.01613258  0.03403406  0.01839441  0.02788554  0.03383219
  0.03667628 -0.02322334 -0.03634065 -0.02780474  0.03683811]"
124,2020-07-03,-1,10607.349609375,10763.650390625,-0.015735139974255,1.0266605819855514,0.40873235,"[-0.00758771 -0.01238108  0.012965    0.0010241  -0.00582339 -0.00321131
 -0.05791629 -0.02558125  0.03131912  0.00327237  0.0834503 ]"
125,2020-07-06,1,10763.650390625,10799.650390625,0.0023445902359812,1.0290676803617416,0.55558944,"[ 0.02097678  0.03551352  0.03684772  0.02113537  0.04617358  0.05614138
 -0.00247659 -0.02839319 -0.01765449  0.10962414 -0.02448751]"
127,2020-07-08,-1,10705.75,10813.4501953125,-0.0110600327219017,1.0176861581438892,0.4415795,"[ 0.01251939 -0.01053852  0.01274668  0.03190744 -0.03081397 -0.03670353
 -0.03200617  0.02466364  0.02513691  0.1196239  -0.06415877]"
129,2020-07-10,-1,10768.0498046875,10802.7001953125,-0.0042178891492418,1.0133936707401203,0.71797466,"[-0.02274134 -0.02538412  0.00292423  0.01077601 -0.01555607  0.00860802
  0.01326187  0.06366061  0.06825091  0.12207636  0.10289568]"
130,2020-07-13,-1,10802.7001953125,10607.349609375,0.0170834960154005,1.0307059774762413,0.5815381,"[-0.04817671 -0.0246713   0.00038464  0.00875209  0.0122807   0.06746607
 -0.00165146  0.0365701   0.03785518  0.11221944 -0.00869316]"
