end_date,Close,High,Low,Open,Volume,ret_1d,ma_5,ma_20,ma_diff,vol_20,momentum
2021-09-16,0.11599397,0.05051099,0.07366577,0.0802808,0.066759415,0.15149571,0.07551853,0.118928924,0.10208483,0.17407778,0.17138316
2021-09-23,0.11812292,0.05164399,0.074027576,0.079184316,0.072219245,0.16233729,0.07627626,0.12319319,0.107943974,0.19596057,0.17198434
2021-09-30,0.123189166,0.05460582,0.06996282,0.079099745,0.07272751,0.1620824,0.077318065,0.12449198,0.10520574,0.20167354,0.17727032
2021-10-07,0.12417994,0.05844813,0.070249915,0.08120509,0.07159416,0.16071488,0.07610793,0.126653,0.103482224,0.20571478,0.1803204
2021-10-14,0.12542619,0.062066402,0.06924173,0.08145329,0.07296732,0.16509502,0.07457944,0.13086282,0.10394934,0.2044671,0.19738154
2021-10-22,0.12490023,0.06446568,0.06825879,0.08056678,0.07280377,0.16517954,0.07164791,0.13615161,0.10621422,0.22277269,0.20497464
2021-10-29,0.12713216,0.068202145,0.06751465,0.08458802,0.075755045,0.16608582,0.07316584,0.14045663,0.10737851,0.24260047,0.20718655
2021-11-08,0.1278631,0.06837407,0.06928476,0.0867064,0.079573676,0.16783407,0.0741906,0.13790594,0.109859005,0.24632026,0.1962739
2021-11-15,0.12873489,0.067000456,0.06894232,0.087307796,0.079188034,0.17008135,0.07719139,0.13729556,0.10575343,0.238908,0.18132299
2021-11-23,0.12733266,0.06911611,0.06994178,0.08957959,0.08014154,0.1636808,0.07807015,0.13504569,0.10129389,0.22043495,0.18365766
2021-11-30,0.13157347,0.07239566,0.07046971,0.09381214,0.08365748,0.16817814,0.0805309,0.13203122,0.14144039,0.22481023,0.17759603
2021-12-07,0.13082506,0.07278327,0.070120715,0.095054984,0.09029048,0.17165817,0.08201092,0.13088115,0.18567915,0.22604173,0.16838565
2021-12-14,0.12807538,0.07072874,0.068683766,0.09506471,0.087921366,0.17242585,0.082213126,0.1312799,0.18471934,0.23270744,0.16960114
2021-12-21,0.12769945,0.07300617,0.06890824,0.097421356,0.08502426,0.16472094,0.082255155,0.13088025,0.18138045,0.21690537,0.17802165
2021-12-28,0.12370142,0.07292687,0.072584555,0.09631171,0.0835674,0.15958123,0.08060983,0.13063116,0.19181785,0.2169358,0.18683249
2022-01-04,0.12419805,0.07210005,0.07093234,0.09275883,0.08127367,0.16688894,0.08040848,0.1312011,0.1926438,0.22466709,0.19681591
2022-01-11,0.12419998,0.07169054,0.070748635,0.09223088,0.078649156,0.16365512,0.08057065,0.12978736,0.19449951,0.24736795,0.19689706
2022-01-18,0.12562928,0.070622526,0.0704686,0.09119645,0.080038294,0.1676247,0.080517575,0.12854208,0.19477133,0.25026453,0.2007087
2022-01-25,0.12832227,0.07231379,0.070509836,0.09049358,0.07514598,0.16314143,0.08190973,0.12750705,0.19739683,0.25352207,0.19931394
2022-02-02,0.12935881,0.0728838,0.06857778,0.08968968,0.07050702,0.16445681,0.083552115,0.12901469,0.2401521,0.27599,0.2084119
2022-02-09,0.12709194,0.0742183,0.069599025,0.09063342,0.0697196,0.16861857,0.081061505,0.12901928,0.2448354,0.29134792,0.22773308
2022-02-16,0.12698208,0.07209875,0.0689881,0.09030676,0.07106678,0.17308043,0.081225805,0.13154939,0.25133577,0.31017393,0.23042946
2022-02-23,0.12263278,0.06936231,0.06981691,0.08915427,0.068005994,0.16945933,0.07844056,0.13299946,0.21001731,0.30108806,0.22811122
2022-03-03,0.12754798,0.072546385,0.070241414,0.09023468,0.06536136,0.16638523,0.08092512,0.13300374,0.20559876,0.29828447,0.2293805
