end_date,rolling_return,rolling_drawdown
2022-06-15,-0.0918169197601075,0.0971946893579012
2022-06-22,-0.1177593048592283,0.11897778005294739
2022-06-29,-0.0826836895141006,0.13333262416358801
2022-07-06,-0.1195991512978041,0.1586486092421303
2022-07-13,-0.1278782271714319,0.1414626864643584
2022-07-20,-0.14606057252972451,0.15432381291141906
2022-07-27,-0.14874391127166808,0.1650123329115243
2022-08-03,-0.1302708602851831,0.1286356370200643
2022-08-11,-0.13972931608808561,0.12364715176229242
2022-08-19,-0.10472186531154092,0.10472186531154092
2022-08-26,-0.0672867773366517,0.09040104998146081
2022-09-05,-0.066429501496349,0.083197199910449
2022-09-12,-0.0711890211320364,0.07052494110104161
2022-09-19,-0.027216932532301803,0.0180504599437724
2022-09-26,-0.012862088421661201,0.0146491447301798
