end_date,explanation_drift
2023-10-06,0.17299926606157973
2023-10-13,0.17416784920037914
2023-10-20,0.17510539693792035
2023-10-30,0.16782068455661964
2023-11-06,0.15182071236128242
2023-11-13,0.157452171335486
2023-11-21,0.1583213474904914
2023-11-29,0.1646290020873149
2023-12-06,0.1775689732627072
2023-12-13,0.18257284669212026
2023-12-20,0.18207064685802718
2023-12-28,0.1810999993307843
2024-01-04,0.18701194473271587
2024-01-11,0.18456656965634402
2024-01-18,0.1815471284208472
2024-01-29,0.18373409200223134
2024-02-05,0.1989323063313969
2024-02-12,0.19395525581909343
2024-02-19,0.19208449667302668
2024-02-26,0.18938441102839082
2024-03-04,0.18229142967304174
2024-03-12,0.18008070991318254
2024-03-19,0.17101985703616301
2024-03-27,0.16811817334416063
2024-04-04,0.16954646135280815
